Posición,Pilotos,Escuderia,Puntos
1°,Sebastian Vettel,Red Bull,281
2°,Fernando Alonso,Ferrari,278
3°,Kimi Räikkönen,Lotus F1,207
4°,Lewis Hamilton,McLaren,190
5°,Jenson Button,McLaren,188
6°,Mark Webber,Red Bull,179
7°,Felipe Massa,Ferrari,122
8°,Romain Grosjean,Lotus F1,96
9°,Nico Rosberg,Mercedes,93
10°,Sergio Pérez,Sauber,66
11°,Nico Hülkenberg,Force India,63
12°,Kamui Kobayashi,Sauber,60
13°,Michael Shumacher,Mercedes,49
14°,Paul di Resta,Force India,46
15°,Pastor Maldonado,Williams,45
16°,Bruno Senna,Williams,31
17°,Jean-Éric Vergne,Toro Rosso,16
18°,Daniel Ricciardo,Toro Rosso,10
19°,Vitaly Petrov ,Caterham,0
20°,Timo Glock,Marussia,0
21°,Charles Pic,Marussia,0
22°,Heikki Kovalainen,Caterham,0
23°,Jérôme d'Ambrosio,Lotus F1,0
24°,Narain Karthikeyan,HRT,0
25°,Pedro de la Rosa,HRT,0
