Posición,Pilotos,Escuderia,Puntos
1°,Lewis Hamilton,Mercedes,363
2°,Sebastian Vettel ,Ferrari,317
3°,Valtteri Bottas,Mercedes,305
4°,Kimi Räikkönen,Ferrari,205
5°,Daniel Ricciardo,Red Bull,200
6°,Max Verstappen ,Red Bull,168
7°,Sergio Pérez,Force India,100
8°,Esteban Ocon,Force India,87
9°,Carlos Sainz,Toro Rosso,54
10°,Nico Hülkenberg,Renault,43
11°,Felipe Massa,Williams,43
12°,Lance Stroll,Williams,40
13°,Romain Grosjean,Haas F1 Team,28
14°,Kevin Magnussen,Haas F1 Team,19
15°,Fernando Alonso,McLaren,17
16°,Stoffel Vandoorne,McLaren,13
17°,Jolyon Palmer,Renault,8
18°,Pascal Wehrlein,Sauber,5
19°,Daniil Kvyat,Toro Rosso,5
20°,Marcus Ericsson,Sauber,0
21°,Perre Gasly,Toro Rosso,0
22°,Antonio Giovinazzi,Sauber,0
23°,Brendon Hartley,Toro Rosso,0
24°,Jenson Button,McLaren,0
25°,Paul di Resta,Williams,0
