Posición,Pilotos,Escuderia,Puntos
1°,Nico Rosberg,Mercedes,385
2°,Lewis Hamilton,Mercedes,380
3°,Daniel Ricciardo,Red Bull,256
4°,Sebastian Vettel,Ferrari,212
5°,Max Verstappen,Toro Rosso,204
6°,Kimi Räikkönen,Ferrari,186
7°,Sergio Pérez,Force India,101
8°,Valtteri Bottas,Williams,85
9°,Nico Hülkenberg,Force India,72
10°,Fernando Alonso,McLaren,54
11°,Felipe Massa,Williams,53
12°,Carlos Sainz,Toro Rosoo,46
13°,Romain Grosjean,Haas F1 Team,29
14°,Daniil Kvyat,Red Bull,25
15°,Jenson Button,McLaren,21
16°,Kevin Magnussen,Renault,7
17°,Felipe Nasr,Sauber,2
18°,Joylon Palmer,Renault,1
19°,Pascal Wehrlein,Manor Marussia,1
20°,Stoffel Vandoorne,McLaren,1
21°,Esteban Gutiérrez,Haas F1 Team,0
22°,Marcus Ericsson,Sauber,0
23°,Esteban Ocon,Manor Marussia,0
24°,Rio Haryanto,Manor Marussia,0
