Posición,Pilotos,Escuderia,Puntos
1°,Sebastian Vettel,Red Bull,
2°,Fernando Alonso,Ferrari,
3°,Mark Webber,Red Bull,
4°,Lewis Hamilton,Mercedes,
5°,Kimi Räikkönen,Lotus F1,
6°,Nico Rosberg,Mercedes,
7°,Romain Grosjean,Lotus F1,
8°,Felipe Massa,Ferrari,
9°,Jenson Button,McLaren,
10°,Nico Hülkenberg,Sauber,
11°,Sergio Pérez,McLaren,
12°,Paul di Resta,Force India,
13°,Adrian Sutil,Force India,
14°,Daniel Ricciardo,Toro Rosso,
15°,Jean-Éric Vergne,Toro Rosso,
16°,Esteban Gutiérrez,Sauber,
17°,Valtteri Bottas,Williams,
18°,Pastor Maldonado,Williams,
19°,Jules Bianchi,Marussia,
20°,Charles Pic,Caterham,
21°,Giedo van der Garde,Caterham,
22°,Heikki Kovalainen,Lotus F1,
23°,Max Chilton,Marussia,
