Posición,Piloto,Escudería,Puntos
1°,Lewis Hamilton,Mercedes,347
2°,Valtteri Bottas,Merces,223
3°,Max Verstappen,Red Bull,214
4°,Sergio Pérez,Racing Point,125
5°,Daniel Ricciardo,Renault,119
6°,Carlos Saniz,McLaren,105
7°,Alexander Albon,Red Bull,105
8°,Charles Leclerc,Ferrari,98
9°,Lando Norris,McLaren,97
10°,Pierre Gasly,Alpha Tauri,75
11°,Lance Stroll,Racing Point,75
12°,Esteban Ocon,Renault,62
13°,Sebastian Vettel,Ferrari,33
14°,Danii Kvyat,Alpha Tauri,32
15°,Nico Hülkenberg,Racing Point,10
16°,Kimi Räikkönen,Alfa Romeo,4
17°,Antonio Giovinazzi,Alfa Romeo,4
18°,George Russell ,Williams,3
19°,Romain Grosjean,Haas F1 Team,2
20°,Kevin Magnussen,Haas F1 Team,1
21°,Nicholas Latifi,Williams,0
22°,Jack Aitken,Williams,0
23°,Pietro Fittipaldi,Haas F1 Team,0
