Posición,Pilotos,Escuderia,Puntos
1°,Lewis Hamilton,Mercedes,384
2°,Nico Rosberg,Mercedes,317
3°,Daniel Ricciardo,Red Bull,238
4°,Valtteri Bottas,Williams,186
5°,Sebastian Vettel,Red Bull,167
6°,Fernando Alonso,Ferrari,161
7°,Felipe Massa,Williams,134
8°,Jenson Button,McLaren,126
9°,Nico Hülkenberg,Force India,96
10°,Sergio Pérez,Force India,59
11°,Kevin Magnussen,McLaren,55
12°,Kimi Räikkönen,Ferrari,55
13°,Jean-Éric Vergne,Toro Rosso,22
14°,Romain Grosjean,Lotus F1,8
15°,Daniil Kvyat,Toro Rosso,8
16°,Pastor Maldonado,Lotus F1,2
17°,Jules Bianchi,Marussia,2
18°,Adrian Sutil,Sauber,0
19°,Marcus Ericson,Caterham,0
20°,Esteban Gutiérrez,Sauber,0
21°,Max Chilton,Marussia,0
22°,Kamui Kobayashi,Caterham,0
23°,Will Stevens,Caterham,0
24°,André Lotterer,Caterham,0
