Posición,Pilotos,Escuderia,Puntos
1°,Lewis Hamilton,Mercedes,182
2°,Nico Rosberg,Mercedes,322
3°,Sebastian Vettel,Ferrari,278
4°,Kimi Räikkönen,Ferrari,150
5°,Valteri Bottas,Williams,136
6°,Felipe Massa,Williams,121
7°,Daniil Kvyat,Red Bull,95
8°,Daniel Ricciardo,Red Bull,92
9°,Sergio Pérez,Force India,78
10°,Nico Hülkenberg,Force India,58
11°,Romain Grosjean,Lotus F1,51
12°,Max Verstappen,Toro Rosso,49
13°,Felipe Nasr,Sauber,27
14°,Pastor Maldonado,Lotus F1,27
15°,Carlos Sainz,Toro Rosso,18
16°,Jenson Button,McLaren,16
17°,Fernando Alonso,McLaren,11
18°,Marcus Ericsson,Sauber,9
19°,Roberto Merhi,Manor Marussia,0
20°,Alexander Rossi,Manor Marussia,0
21°,Will Stevens,Manor Marussia,0
22°,Kevin Magnussen,McLaren,0
